Typical Measured Spectrum of Semrock FF01-500/LP Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
270.0	4.089e-05
270.2	4.0347e-05
270.4	3.9811e-05
270.6	3.9282e-05
270.8	3.8761e-05
271.0	3.8246e-05
271.2	3.7738e-05
271.4	3.7237e-05
271.6	3.6742e-05
271.8	3.6254e-05
272.0	3.5773e-05
272.2	3.5298e-05
272.4	3.4829e-05
272.6	3.4367e-05
272.8	3.3907e-05
273.0	3.2765e-05
273.2	3.1662e-05
273.4	3.0595e-05
273.6	2.9565e-05
273.8	2.8569e-05
274.0	2.7607e-05
274.2	2.6678e-05
274.4	2.5779e-05
274.6	2.4911e-05
274.8	2.4072e-05
275.0	2.3262e-05
275.2	2.1561e-05
275.4	1.9984e-05
275.6	1.8523e-05
275.8	1.7169e-05
276.0	1.5913e-05
276.2	1.475e-05
276.4	1.3671e-05
276.6	1.2672e-05
276.8	1.1745e-05
277.0	1.0886e-05
277.2	1.009e-05
277.4	9.3525e-06
277.6	8.6687e-06
277.8	8.4027e-06
278.0	8.8195e-06
278.2	9.2569e-06
278.4	9.7161e-06
278.6	1.0198e-05
278.8	1.0704e-05
279.0	1.1235e-05
279.2	1.1792e-05
279.4	1.2377e-05
279.6	1.2991e-05
279.8	1.3635e-05
280.0	1.4312e-05
280.2	1.5022e-05
280.4	1.5767e-05
280.6	1.6549e-05
280.8	1.737e-05
281.0	1.8231e-05
281.2	1.9136e-05
281.4	2.0085e-05
281.6	2.1081e-05
281.8	2.1502e-05
282.0	2.1045e-05
282.2	2.0598e-05
282.4	2.016e-05
282.6	1.9732e-05
282.8	1.9313e-05
283.0	1.8903e-05
283.2	1.8501e-05
283.4	1.8108e-05
283.6	1.7724e-05
283.8	1.7347e-05
284.0	1.6979e-05
284.2	1.6618e-05
284.4	1.6265e-05
284.6	1.5919e-05
284.8	1.5581e-05
285.0	1.525e-05
285.2	1.4926e-05
285.4	1.4609e-05
285.6	1.4299e-05
285.8	1.3903e-05
286.0	1.3418e-05
286.2	1.295e-05
286.4	1.2498e-05
286.6	1.2062e-05
286.8	1.1641e-05
287.0	1.1235e-05
287.2	1.0843e-05
287.4	1.0465e-05
287.6	1.01e-05
287.8	9.7476e-06
288.0	9.4076e-06
288.2	9.0794e-06
288.4	8.7626e-06
288.6	8.4569e-06
288.8	8.1619e-06
289.0	7.8772e-06
289.2	7.6024e-06
289.4	7.3371e-06
289.6	7.0812e-06
289.8	6.9477e-06
290.0	6.9152e-06
290.2	6.8828e-06
290.4	6.8505e-06
290.6	6.8184e-06
290.8	6.7864e-06
291.0	6.7546e-06
291.2	6.723e-06
291.4	6.6915e-06
291.6	6.6601e-06
291.8	6.6289e-06
292.0	6.5978e-06
292.2	6.5669e-06
292.4	6.5361e-06
292.6	6.5055e-06
292.8	6.475e-06
293.0	6.4447e-06
293.2	6.4145e-06
293.4	6.3844e-06
293.6	6.3545e-06
293.8	6.4119e-06
294.0	6.5266e-06
294.2	6.6435e-06
294.4	6.7624e-06
294.6	6.8835e-06
294.8	7.0067e-06
295.0	7.1321e-06
295.2	7.1225e-06
295.4	7.1129e-06
295.6	7.1015e-06
295.8	6.9736e-06
296.0	6.8481e-06
296.2	6.7248e-06
296.4	6.6037e-06
296.6	6.4848e-06
296.8	6.368e-06
297.0	6.2534e-06
297.2	6.1408e-06
297.4	6.0302e-06
297.6	5.9217e-06
297.8	5.815e-06
298.0	5.7103e-06
298.2	5.6075e-06
298.4	5.5066e-06
298.6	5.4074e-06
298.8	5.3101e-06
299.0	5.2144e-06
299.2	5.1206e-06
299.4	5.0284e-06
299.6	4.9378e-06
299.8	3.4493e-06
300.0	2.0296e-06
300.2	1.9379e-06
300.4	1.8504e-06
300.6	1.7669e-06
300.8	1.6871e-06
301.0	1.6109e-06
301.2	1.5382e-06
301.4	1.4687e-06
301.6	1.4024e-06
301.8	1.3391e-06
302.0	1.2492e-06
302.2	1.1638e-06
302.4	1.0843e-06
302.6	1.0102e-06
302.8	9.4113e-07
303.0	8.768e-07
303.2	8.1686e-07
303.4	7.6103e-07
303.6	7.0901e-07
303.8	6.6055e-07
304.0	7.2298e-07
304.2	8.3261e-07
304.4	9.5887e-07
304.6	1.1043e-06
304.8	1.2717e-06
305.0	1.4646e-06
305.2	1.6866e-06
305.4	1.9424e-06
305.6	2.237e-06
305.8	2.5762e-06
306.0	2.5518e-06
306.2	2.2612e-06
306.4	2.0038e-06
306.6	1.7756e-06
306.8	1.5734e-06
307.0	1.3943e-06
307.2	1.2355e-06
307.4	1.0948e-06
307.6	9.7015e-07
307.8	8.5968e-07
308.0	8.5258e-07
308.2	1.0084e-06
308.4	1.1926e-06
308.6	1.4106e-06
308.8	1.6683e-06
309.0	1.9732e-06
309.2	2.3337e-06
309.4	2.7601e-06
309.6	3.2645e-06
309.8	3.861e-06
310.0	4.5587e-06
310.2	5.3044e-06
310.4	6.1721e-06
310.6	7.1818e-06
310.8	8.3566e-06
311.0	9.7235e-06
311.2	1.1314e-05
311.4	1.3165e-05
311.6	1.5318e-05
311.8	1.7824e-05
312.0	1.8666e-05
312.2	1.944e-05
312.4	2.0246e-05
312.6	2.1086e-05
312.8	2.196e-05
313.0	2.2871e-05
313.2	2.3819e-05
313.4	2.4807e-05
313.6	2.5835e-05
313.8	2.6906e-05
314.0	2.4856e-05
314.2	2.2132e-05
314.4	1.9706e-05
314.6	1.7546e-05
314.8	1.5623e-05
315.0	1.391e-05
315.2	1.2386e-05
315.4	1.1028e-05
315.6	9.8195e-06
315.8	8.7432e-06
316.0	8.0573e-06
316.2	7.6046e-06
316.4	7.1775e-06
316.6	6.7743e-06
316.8	6.3938e-06
317.0	6.0346e-06
317.2	5.6956e-06
317.4	5.3757e-06
317.6	5.0737e-06
317.8	4.7887e-06
318.0	5.0463e-06
318.2	6.2317e-06
318.4	7.6956e-06
318.6	9.5034e-06
318.8	1.1736e-05
319.0	1.4493e-05
319.2	1.7897e-05
319.4	2.2101e-05
319.6	2.7293e-05
319.8	3.3704e-05
320.0	4.0924e-05
320.2	4.3899e-05
320.4	4.709e-05
320.6	5.0514e-05
320.8	5.4186e-05
321.0	5.8125e-05
321.2	6.235e-05
321.4	6.6883e-05
321.6	7.1745e-05
321.8	7.696e-05
322.0	7.0878e-05
322.2	6.4474e-05
322.4	5.8649e-05
322.6	5.335e-05
322.8	4.8529e-05
323.0	4.4145e-05
323.2	4.0156e-05
323.4	3.6528e-05
323.6	3.3228e-05
323.8	3.0226e-05
324.0	2.6726e-05
324.2	2.341e-05
324.4	2.0505e-05
324.6	1.7961e-05
324.8	1.5733e-05
325.0	1.378e-05
325.2	1.2071e-05
325.4	1.0573e-05
325.6	9.261e-06
325.8	8.1119e-06
326.0	7.4342e-06
326.2	7.0449e-06
326.4	6.6759e-06
326.6	6.3262e-06
326.8	5.9949e-06
327.0	5.6809e-06
327.2	5.3834e-06
327.4	5.1015e-06
327.6	4.8343e-06
327.8	4.5811e-06
328.0	4.3906e-06
328.2	4.2787e-06
328.4	4.1696e-06
328.6	4.0633e-06
328.8	3.9597e-06
329.0	3.8588e-06
329.2	3.7604e-06
329.4	3.6645e-06
329.6	3.5711e-06
329.8	3.4801e-06
330.0	3.4138e-06
330.2	3.5151e-06
330.4	3.6193e-06
330.6	3.7266e-06
330.8	3.8371e-06
331.0	3.9509e-06
331.2	4.068e-06
331.4	4.1886e-06
331.6	4.3128e-06
331.8	4.4407e-06
332.0	4.3097e-06
332.2	4.1581e-06
332.4	4.0119e-06
332.6	3.8708e-06
332.8	3.7346e-06
333.0	3.6033e-06
333.2	3.4766e-06
333.4	3.3543e-06
333.6	3.2364e-06
333.8	3.1225e-06
334.0	3.004e-06
334.2	2.887e-06
334.4	2.7745e-06
334.6	2.6665e-06
334.8	2.5626e-06
335.0	2.4628e-06
335.2	2.3669e-06
335.4	2.2747e-06
335.6	2.1861e-06
335.8	2.1009e-06
336.0	1.978e-06
336.2	1.8341e-06
336.4	1.7006e-06
336.6	1.5769e-06
336.8	1.4622e-06
337.0	1.3558e-06
337.2	1.2572e-06
337.4	1.1657e-06
337.6	1.0809e-06
337.8	1.0023e-06
338.0	9.4654e-07
338.2	9.1785e-07
338.4	8.9003e-07
338.6	8.6306e-07
338.8	8.369e-07
339.0	8.1153e-07
339.2	7.8693e-07
339.4	7.6308e-07
339.6	7.3995e-07
339.8	7.1752e-07
340.0	6.7125e-07
340.2	4.8847e-07
340.4	3.5546e-07
340.6	2.5867e-07
340.8	1.8823e-07
341.0	1.3698e-07
341.2	9.9679e-08
341.4	7.2537e-08
341.6	5.2785e-08
341.8	3.8412e-08
342.0	4.868e-08
342.2	6.5171e-08
342.4	8.725e-08
342.6	1.1681e-07
342.8	1.5638e-07
343.0	2.0936e-07
343.2	2.8029e-07
343.4	3.7524e-07
343.6	5.0236e-07
343.8	6.7256e-07
344.0	7.78e-07
344.2	8.5608e-07
344.4	9.42e-07
344.6	1.0365e-06
344.8	1.1406e-06
345.0	1.255e-06
345.2	1.381e-06
345.4	1.5196e-06
345.6	1.6721e-06
345.8	1.8399e-06
346.0	1.8462e-06
346.2	1.7353e-06
346.4	1.6311e-06
346.6	1.5331e-06
346.8	1.4411e-06
347.0	1.3545e-06
347.2	1.2731e-06
347.4	1.1967e-06
347.6	1.1248e-06
347.8	1.0572e-06
348.0	1.0274e-06
348.2	1.0446e-06
348.4	1.062e-06
348.6	1.0798e-06
348.8	1.0978e-06
349.0	1.1161e-06
349.2	1.1347e-06
349.4	1.1537e-06
349.6	1.1729e-06
349.8	1.1925e-06
350.0	1.2149e-06
350.2	1.2542e-06
350.4	1.2947e-06
350.6	1.3366e-06
350.8	1.3798e-06
351.0	1.4244e-06
351.2	1.4704e-06
351.4	1.5179e-06
351.6	1.567e-06
351.8	1.6176e-06
352.0	1.605e-06
352.2	1.5835e-06
352.4	1.5622e-06
352.6	1.5413e-06
352.8	1.5206e-06
353.0	1.5002e-06
353.2	1.4801e-06
353.4	1.4603e-06
353.6	1.4407e-06
353.8	1.4214e-06
354.0	1.3003e-06
354.2	1.155e-06
354.4	1.026e-06
354.6	9.1139e-07
354.8	8.0959e-07
355.0	7.1915e-07
355.2	6.3882e-07
355.4	5.6747e-07
355.6	5.0408e-07
355.8	4.4777e-07
356.0	4.2847e-07
356.2	4.3416e-07
356.4	4.3993e-07
356.6	4.4577e-07
356.8	4.5169e-07
357.0	4.5769e-07
357.2	4.6377e-07
357.4	4.6993e-07
357.6	4.7617e-07
357.8	4.8249e-07
358.0	4.9981e-07
358.2	5.341e-07
358.4	5.7074e-07
358.6	6.0989e-07
358.8	6.5174e-07
359.0	6.9645e-07
359.2	7.4423e-07
359.4	7.9529e-07
359.6	8.4985e-07
359.8	9.0815e-07
360.0	9.6621e-07
360.2	9.9824e-07
360.4	1.0313e-06
360.6	1.0655e-06
360.8	1.1008e-06
361.0	1.1373e-06
361.2	1.175e-06
361.4	1.2139e-06
361.6	1.2542e-06
361.8	1.2957e-06
362.0	1.196e-06
362.2	1.0894e-06
362.4	9.9229e-07
362.6	9.0384e-07
362.8	8.2329e-07
363.0	7.4991e-07
363.2	6.8307e-07
363.4	6.2219e-07
363.6	5.6674e-07
363.8	5.1622e-07
364.0	4.7065e-07
364.2	4.2923e-07
364.4	3.9146e-07
364.6	3.5701e-07
364.8	3.2559e-07
365.0	2.9694e-07
365.2	2.7081e-07
365.4	2.4698e-07
365.6	2.2524e-07
365.8	2.0542e-07
366.0	2.1268e-07
366.2	2.4005e-07
366.4	2.7094e-07
366.6	3.058e-07
366.8	3.4516e-07
367.0	3.8957e-07
367.2	4.3971e-07
367.4	4.9629e-07
367.6	5.6016e-07
367.8	6.3224e-07
368.0	6.8346e-07
368.2	7.0087e-07
368.4	7.1873e-07
368.6	7.3703e-07
368.8	7.5581e-07
369.0	7.7506e-07
369.2	7.948e-07
369.4	8.1504e-07
369.6	8.358e-07
369.8	8.5709e-07
370.0	8.7019e-07
370.2	8.3665e-07
370.4	8.044e-07
370.6	7.7339e-07
370.8	7.4358e-07
371.0	7.1492e-07
371.2	6.8737e-07
371.4	6.6087e-07
371.6	6.354e-07
371.8	6.1091e-07
372.0	6.3649e-07
372.2	6.7152e-07
372.4	7.0846e-07
372.6	7.4745e-07
372.8	7.8857e-07
373.0	8.3196e-07
373.2	8.7774e-07
373.4	9.2603e-07
373.6	9.7699e-07
373.8	1.0307e-06
374.0	9.964e-07
374.2	9.3178e-07
374.4	8.7135e-07
374.6	8.1484e-07
374.8	7.6199e-07
375.0	7.1257e-07
375.2	6.6636e-07
375.4	6.2314e-07
375.6	5.8273e-07
375.8	5.4494e-07
376.0	5.4909e-07
376.2	5.8401e-07
376.4	6.2115e-07
376.6	6.6065e-07
376.8	7.0267e-07
377.0	7.4735e-07
377.2	7.9488e-07
377.4	8.4543e-07
377.6	8.9919e-07
377.8	9.5638e-07
378.0	1.0028e-06
378.2	1.0327e-06
378.4	1.0635e-06
378.6	1.0951e-06
378.8	1.1277e-06
379.0	1.1613e-06
379.2	1.1959e-06
379.4	1.2315e-06
379.6	1.2682e-06
379.8	1.3059e-06
380.0	1.3303e-06
380.2	1.2745e-06
380.4	1.2209e-06
380.6	1.1697e-06
380.8	1.1205e-06
381.0	1.0735e-06
381.2	1.0284e-06
381.4	9.8519e-07
381.6	9.4381e-07
381.8	9.0417e-07
382.0	9.6867e-07
382.2	1.0568e-06
382.4	1.153e-06
382.6	1.258e-06
382.8	1.3725e-06
383.0	1.4974e-06
383.2	1.6337e-06
383.4	1.7824e-06
383.6	1.9446e-06
383.8	2.1216e-06
384.0	2.0349e-06
384.2	1.8563e-06
384.4	1.6934e-06
384.6	1.5448e-06
384.8	1.4092e-06
385.0	1.2856e-06
385.2	1.1728e-06
385.4	1.0698e-06
385.6	9.7596e-07
385.8	8.9032e-07
386.0	8.5773e-07
386.2	8.5893e-07
386.4	8.6014e-07
386.6	8.6136e-07
386.8	8.6257e-07
387.0	8.6378e-07
387.2	8.65e-07
387.4	8.6622e-07
387.6	8.6744e-07
387.8	8.6866e-07
388.0	8.571e-07
388.2	8.3082e-07
388.4	8.0535e-07
388.6	7.8065e-07
388.8	7.5672e-07
389.0	7.3352e-07
389.2	7.1103e-07
389.4	6.8923e-07
389.6	6.681e-07
389.8	6.4762e-07
390.0	6.3112e-07
390.2	6.325e-07
390.4	6.3388e-07
390.6	6.3527e-07
390.8	6.3666e-07
391.0	6.3806e-07
391.2	6.3945e-07
391.4	6.4085e-07
391.6	6.4226e-07
391.8	6.4366e-07
392.0	6.3773e-07
392.2	6.3053e-07
392.4	6.234e-07
392.6	6.1636e-07
392.8	6.094e-07
393.0	6.0251e-07
393.2	5.9571e-07
393.4	5.8898e-07
393.6	5.8232e-07
393.8	5.7575e-07
