Typical Measured Spectrum of Semrock FF01-593/LP Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
265.0	7.2475e-05
265.2	7.311e-05
265.4	7.3751e-05
265.6	7.4397e-05
265.8	7.5049e-05
266.0	7.5706e-05
266.2	7.6369e-05
266.4	7.7038e-05
266.6	7.7713e-05
266.8	7.8394e-05
267.0	7.9081e-05
267.2	7.8972e-05
267.4	7.8816e-05
267.6	7.8661e-05
267.8	7.8507e-05
268.0	7.8352e-05
268.2	7.8198e-05
268.4	7.8044e-05
268.6	7.7891e-05
268.8	7.7737e-05
269.0	7.7584e-05
269.2	7.7432e-05
269.4	7.728e-05
269.6	7.7127e-05
269.8	7.6976e-05
270.0	7.6824e-05
270.2	7.6673e-05
270.4	7.6522e-05
270.6	7.6372e-05
270.8	7.1539e-05
271.0	5.6698e-05
271.2	4.4935e-05
271.4	3.5613e-05
271.6	2.8225e-05
271.8	2.2369e-05
272.0	1.7729e-05
272.2	1.4051e-05
272.4	1.1136e-05
272.6	8.8255e-06
272.8	6.9945e-06
273.0	5.5435e-06
273.2	4.3934e-06
273.4	3.482e-06
273.6	2.7596e-06
273.8	2.1871e-06
274.0	1.7334e-06
274.2	1.3738e-06
274.4	1.0888e-06
274.6	9.8689e-07
274.8	9.7474e-07
275.0	9.6274e-07
275.2	9.5446e-07
275.4	9.4625e-07
275.6	1.0497e-06
275.8	1.3028e-06
276.0	1.617e-06
276.2	2.0071e-06
276.4	2.4911e-06
276.6	3.092e-06
276.8	3.8377e-06
277.0	4.7633e-06
277.2	5.9122e-06
277.4	7.3381e-06
277.6	9.108e-06
277.8	1.1305e-05
278.0	1.4031e-05
278.2	1.7415e-05
278.4	2.1616e-05
278.6	2.6829e-05
278.8	3.33e-05
279.0	4.1332e-05
279.2	5.13e-05
279.4	4.9852e-05
279.6	4.6158e-05
279.8	4.2738e-05
280.0	3.9571e-05
280.2	3.6639e-05
280.4	3.3925e-05
280.6	3.1411e-05
280.8	2.9083e-05
281.0	2.6928e-05
281.2	2.4933e-05
281.4	2.3086e-05
281.6	2.1375e-05
281.8	1.9791e-05
282.0	1.8325e-05
282.2	1.6967e-05
282.4	1.571e-05
282.6	1.4546e-05
282.8	1.3468e-05
283.0	1.2709e-05
283.2	1.3077e-05
283.4	1.3455e-05
283.6	1.3844e-05
283.8	1.4244e-05
284.0	1.4656e-05
284.2	1.508e-05
284.4	1.5517e-05
284.6	1.5965e-05
284.8	1.6427e-05
285.0	1.6902e-05
285.2	1.6304e-05
285.4	1.5727e-05
285.6	1.3774e-05
285.8	1.1249e-05
286.0	9.1875e-06
286.2	7.5034e-06
286.4	6.1281e-06
286.6	5.0048e-06
286.8	4.0875e-06
287.0	3.3382e-06
287.2	2.7264e-06
287.4	2.2266e-06
287.6	1.8185e-06
287.8	1.4852e-06
288.0	1.2129e-06
288.2	9.9061e-07
288.4	8.0904e-07
288.6	6.6074e-07
288.8	5.3963e-07
289.0	4.4072e-07
289.2	3.5994e-07
289.4	4.297e-07
289.6	5.2903e-07
289.8	6.5131e-07
290.0	8.0186e-07
290.2	9.8721e-07
290.4	1.2154e-06
290.6	1.4963e-06
290.8	1.8422e-06
291.0	2.268e-06
291.2	2.7923e-06
291.4	3.4377e-06
291.6	4.2324e-06
291.8	5.2107e-06
292.0	6.4151e-06
292.2	7.8979e-06
292.4	9.7235e-06
292.6	1.1971e-05
292.8	1.4738e-05
293.0	1.6278e-05
293.2	1.36e-05
293.4	1.1362e-05
293.6	9.4927e-06
293.8	7.9308e-06
294.0	6.6259e-06
294.2	5.5357e-06
294.4	4.6249e-06
294.6	3.8639e-06
294.8	3.2282e-06
295.0	2.697e-06
295.2	2.8205e-06
295.4	2.9495e-06
295.6	3.0845e-06
295.8	3.2257e-06
296.0	3.3734e-06
296.2	3.5277e-06
296.4	3.6892e-06
296.6	3.8581e-06
296.8	4.0346e-06
297.0	4.2193e-06
297.2	4.4124e-06
297.4	4.6143e-06
297.6	4.8255e-06
297.8	5.0464e-06
298.0	5.2196e-06
298.2	5.1591e-06
298.4	5.0994e-06
298.6	5.0403e-06
298.8	4.9819e-06
299.0	4.9242e-06
299.2	4.8671e-06
299.4	4.8107e-06
299.6	4.755e-06
299.8	4.6999e-06
300.0	4.6454e-06
300.2	4.5916e-06
300.4	4.5384e-06
300.6	4.4858e-06
300.8	4.4338e-06
301.0	4.3824e-06
301.2	4.3317e-06
301.4	4.2815e-06
301.6	4.2319e-06
301.8	4.3428e-06
302.0	4.5928e-06
302.2	4.8573e-06
302.4	5.1369e-06
302.6	5.4327e-06
302.8	5.7454e-06
303.0	6.0762e-06
303.2	6.426e-06
303.4	6.796e-06
303.6	7.1873e-06
303.8	7.6011e-06
304.0	8.0387e-06
304.2	8.5015e-06
304.4	8.9909e-06
304.6	9.5086e-06
304.8	1.0056e-05
305.0	1.0635e-05
305.2	1.3532e-05
305.4	1.7219e-05
305.6	2.0703e-05
305.8	2.0483e-05
306.0	2.0265e-05
306.2	2.0049e-05
306.4	1.9835e-05
306.6	1.9624e-05
306.8	1.9415e-05
307.0	1.9208e-05
307.2	1.9003e-05
307.4	1.8801e-05
307.6	1.86e-05
307.8	1.8402e-05
308.0	1.8206e-05
308.2	1.8012e-05
308.4	1.782e-05
308.6	1.7631e-05
308.8	1.7443e-05
309.0	1.7257e-05
309.2	1.7073e-05
309.4	1.6902e-05
309.6	1.6742e-05
309.8	1.6583e-05
310.0	1.6425e-05
310.2	1.6269e-05
310.4	1.6114e-05
310.6	1.5961e-05
310.8	1.581e-05
311.0	1.566e-05
311.2	1.5511e-05
311.4	1.5363e-05
311.6	1.5217e-05
311.8	1.5073e-05
312.0	1.493e-05
312.2	1.4788e-05
312.4	1.4647e-05
312.6	1.4508e-05
312.8	1.437e-05
313.0	1.4234e-05
313.2	1.3553e-05
313.4	1.286e-05
313.6	1.2202e-05
313.8	1.1579e-05
314.0	1.0987e-05
314.2	1.0425e-05
314.4	9.892e-06
314.6	9.3863e-06
314.8	8.9065e-06
315.0	8.4511e-06
315.2	8.0191e-06
315.4	7.6091e-06
315.6	7.2202e-06
315.8	6.851e-06
316.0	6.5008e-06
316.2	6.1685e-06
316.4	5.8531e-06
316.6	5.5539e-06
316.8	5.346e-06
317.0	5.3442e-06
317.2	5.3423e-06
317.4	5.3404e-06
317.6	5.3385e-06
317.8	5.3366e-06
318.0	5.3347e-06
318.2	5.3328e-06
318.4	5.3309e-06
318.6	5.329e-06
318.8	5.3271e-06
319.0	5.3252e-06
319.2	5.3234e-06
319.4	5.3215e-06
319.6	5.3196e-06
319.8	5.3177e-06
320.0	5.3158e-06
320.2	5.3139e-06
320.4	5.3121e-06
320.6	5.208e-06
320.8	5.0504e-06
321.0	4.8976e-06
321.2	4.7495e-06
321.4	4.6058e-06
321.6	4.4664e-06
321.8	4.3313e-06
322.0	4.2003e-06
322.2	4.0732e-06
322.4	3.95e-06
322.6	3.8305e-06
322.8	3.7146e-06
323.0	3.6022e-06
323.2	3.4933e-06
323.4	3.3876e-06
323.6	3.2851e-06
323.8	3.1857e-06
324.0	3.0893e-06
324.2	2.9983e-06
324.4	3.0653e-06
324.6	3.1339e-06
324.8	3.2039e-06
325.0	3.2756e-06
325.2	3.3488e-06
325.4	3.4237e-06
325.6	3.5003e-06
325.8	3.5786e-06
326.0	3.6586e-06
326.2	3.7404e-06
326.4	3.8241e-06
326.6	3.9096e-06
326.8	3.997e-06
327.0	4.0864e-06
327.2	4.1778e-06
327.4	4.2712e-06
327.6	4.3667e-06
327.8	4.4644e-06
328.0	4.4934e-06
328.2	4.4156e-06
328.4	4.3391e-06
328.6	4.264e-06
328.8	4.1901e-06
329.0	4.1175e-06
329.2	4.0462e-06
329.4	3.9761e-06
329.6	3.9073e-06
329.8	3.8396e-06
330.0	3.7731e-06
330.2	3.7077e-06
330.4	3.6435e-06
330.6	3.5804e-06
330.8	3.5184e-06
331.0	3.4575e-06
331.2	3.3976e-06
331.4	3.3387e-06
331.6	3.2809e-06
331.8	3.409e-06
332.0	3.5966e-06
332.2	3.7945e-06
332.4	4.0033e-06
332.6	4.2236e-06
332.8	4.4561e-06
333.0	4.7013e-06
333.2	4.96e-06
333.4	5.2329e-06
333.6	5.5209e-06
333.8	5.8247e-06
334.0	6.1453e-06
334.2	6.4834e-06
334.4	6.8402e-06
334.6	7.2166e-06
334.8	7.6138e-06
335.0	8.0328e-06
335.2	9.0342e-06
335.4	1.0161e-05
335.6	1.1045e-05
335.8	1.0976e-05
336.0	1.0907e-05
336.2	1.0838e-05
336.4	1.077e-05
336.6	1.0703e-05
336.8	1.0636e-05
337.0	1.0569e-05
337.2	1.0503e-05
337.4	1.0437e-05
337.6	1.0371e-05
337.8	1.0306e-05
338.0	1.0241e-05
338.2	1.0177e-05
338.4	1.0113e-05
338.6	1.005e-05
338.8	9.9868e-06
339.0	9.9242e-06
339.2	9.8619e-06
339.4	9.9292e-06
339.6	1.0068e-05
339.8	1.0208e-05
340.0	1.035e-05
340.2	1.0495e-05
340.4	1.0641e-05
340.6	1.0789e-05
340.8	1.094e-05
341.0	1.1092e-05
341.2	1.1247e-05
341.4	1.1404e-05
341.6	1.1563e-05
341.8	1.1724e-05
342.0	1.1887e-05
342.2	1.2053e-05
342.4	1.2221e-05
342.6	1.2391e-05
342.8	1.2564e-05
343.0	1.2737e-05
343.2	1.2832e-05
343.4	1.2927e-05
343.6	1.3024e-05
343.8	1.3121e-05
344.0	1.3218e-05
344.2	1.3317e-05
344.4	1.3416e-05
344.6	1.3516e-05
344.8	1.3617e-05
345.0	1.3718e-05
345.2	1.382e-05
345.4	1.3923e-05
345.6	1.4027e-05
345.8	1.4132e-05
346.0	1.4237e-05
346.2	1.4343e-05
346.4	1.445e-05
346.6	1.4558e-05
346.8	1.4806e-05
347.0	1.526e-05
347.2	1.5729e-05
347.4	1.6212e-05
347.6	1.671e-05
347.8	1.7223e-05
348.0	1.7752e-05
348.2	1.8297e-05
348.4	1.8859e-05
348.6	1.9439e-05
348.8	2.0036e-05
349.0	2.0651e-05
349.2	2.1285e-05
349.4	2.1939e-05
349.6	2.2613e-05
349.8	2.3307e-05
350.0	2.4023e-05
350.2	2.4761e-05
350.4	2.5521e-05
350.6	2.4887e-05
350.8	2.3955e-05
351.0	2.3058e-05
351.2	2.2195e-05
351.4	2.1364e-05
351.6	2.0564e-05
351.8	1.9794e-05
352.0	1.9052e-05
352.2	1.8339e-05
352.4	1.7652e-05
352.6	1.6991e-05
352.8	1.6355e-05
353.0	1.5743e-05
353.2	1.5153e-05
353.4	1.4586e-05
353.6	1.4039e-05
353.8	1.3514e-05
354.0	1.3008e-05
354.2	1.2497e-05
354.4	1.1924e-05
354.6	1.1377e-05
354.8	1.0856e-05
355.0	1.0358e-05
355.2	9.8829e-06
355.4	9.4297e-06
355.6	8.9973e-06
355.8	8.5848e-06
356.0	8.1911e-06
356.2	7.8155e-06
356.4	7.4572e-06
356.6	7.1152e-06
356.8	6.789e-06
357.0	6.4777e-06
357.2	6.1807e-06
357.4	5.8973e-06
357.6	5.6269e-06
357.8	5.3689e-06
358.0	5.3612e-06
358.2	5.4984e-06
358.4	5.6392e-06
358.6	5.7837e-06
358.8	5.9318e-06
359.0	6.0837e-06
359.2	6.2395e-06
359.4	6.3992e-06
359.6	6.5631e-06
359.8	6.7312e-06
360.0	6.9036e-06
360.2	7.0803e-06
360.4	7.2617e-06
360.6	7.4476e-06
360.8	7.6383e-06
361.0	7.8339e-06
361.2	8.0346e-06
361.4	8.2403e-06
361.6	8.4619e-06
361.8	8.8982e-06
362.0	9.357e-06
362.2	9.8394e-06
362.4	1.0347e-05
362.6	1.088e-05
362.8	1.1441e-05
363.0	1.2031e-05
363.2	1.2651e-05
363.4	1.3304e-05
363.6	1.399e-05
363.8	1.4711e-05
364.0	1.5469e-05
364.2	1.6267e-05
364.4	1.7106e-05
364.6	1.7988e-05
364.8	1.8915e-05
365.0	1.989e-05
365.2	2.0051e-05
365.4	2.0213e-05
365.6	2.0376e-05
365.8	2.054e-05
366.0	2.0706e-05
366.2	2.0873e-05
366.4	2.1041e-05
366.6	2.1211e-05
366.8	2.1382e-05
367.0	2.1353e-05
367.2	2.0948e-05
367.4	2.0551e-05
367.6	2.0162e-05
367.8	1.978e-05
368.0	1.9405e-05
368.2	1.9037e-05
368.4	1.8676e-05
368.6	1.8322e-05
368.8	1.7975e-05
369.0	1.7635e-05
369.2	1.73e-05
369.4	1.6973e-05
369.6	1.6651e-05
369.8	1.6335e-05
370.0	1.6026e-05
370.2	1.5722e-05
370.4	1.5424e-05
370.6	1.5132e-05
370.8	1.4826e-05
371.0	1.452e-05
371.2	1.4221e-05
371.4	1.3927e-05
371.6	1.3639e-05
371.8	1.3358e-05
372.0	1.3082e-05
372.2	1.2812e-05
372.4	1.2548e-05
372.6	1.2289e-05
372.8	1.2035e-05
373.0	1.1787e-05
373.2	1.1543e-05
373.4	1.1305e-05
373.6	1.1072e-05
373.8	1.0843e-05
374.0	1.0619e-05
374.2	1.04e-05
374.4	1.0209e-05
374.6	1.0189e-05
374.8	1.0168e-05
375.0	1.0147e-05
375.2	1.0127e-05
375.4	1.0106e-05
375.6	1.0086e-05
375.8	1.0065e-05
376.0	1.0045e-05
376.2	1.0025e-05
376.4	1.0004e-05
376.6	9.9841e-06
376.8	9.9639e-06
377.0	9.9437e-06
377.2	9.9236e-06
377.4	9.9035e-06
377.6	9.8835e-06
377.8	9.8634e-06
378.0	9.8435e-06
378.2	9.947e-06
378.4	1.0166e-05
378.6	1.0389e-05
378.8	1.0618e-05
379.0	1.0852e-05
379.2	1.109e-05
379.4	1.1334e-05
379.6	1.1584e-05
379.8	1.1839e-05
380.0	1.2099e-05
380.2	1.2365e-05
380.4	1.2637e-05
380.6	1.2915e-05
380.8	1.32e-05
381.0	1.349e-05
381.2	1.3787e-05
381.4	1.409e-05
381.6	1.44e-05
381.8	1.4717e-05
382.0	1.536e-05
382.2	1.6058e-05
382.4	1.6786e-05
382.6	1.7548e-05
382.8	1.8345e-05
383.0	1.9177e-05
383.2	2.0047e-05
383.4	2.0957e-05
383.6	2.1908e-05
383.8	2.2903e-05
384.0	2.3942e-05
384.2	2.5029e-05
384.4	2.6165e-05
384.6	2.7352e-05
384.8	2.8594e-05
385.0	2.9891e-05
385.2	3.1248e-05
385.4	3.2666e-05
385.6	3.4283e-05
385.8	3.6244e-05
386.0	3.8317e-05
386.2	4.0509e-05
386.4	4.2826e-05
386.6	4.5275e-05
386.8	4.7865e-05
387.0	5.0603e-05
387.2	5.3497e-05
387.4	5.6557e-05
387.6	5.9792e-05
387.8	6.3212e-05
388.0	6.6827e-05
388.2	7.065e-05
388.4	7.4691e-05
388.6	7.8963e-05
388.8	8.3479e-05
